SampleName	HET	HOM	Farm	Strain	Stage	Sex
HMLY3F714385Cyclone	35258	17863	HM	LY	Stage3	F
HMLY3F816427Cyclone	33846	18022	HM	LY	Stage3	F
HMLY3F713977Cyclone	34966	18005	HM	LY	Stage3	F
HMLY3F612754Cyclone	34531	18027	HM	LY	Stage3	F
HMLY3F252345Cyclone	33507	18603	HM	LY	Stage3	F
HMLY3F714589Cyclone	36613	17779	HM	LY	Stage3	F
HMLY3M251836Cyclone	33793	18707	HM	LY	Stage3	M
HMLY3M252448Cyclone	33545	18786	HM	LY	Stage3	M
HMLY3M816530Cyclone	45295	18390	HM	LY	Stage3	M
HMLY3M151428Cyclone	40633	18829	HM	LY	Stage3	M
